Datetime,Serving_Cell_Id, Call_Id, uePhr
2025-02-27 05:33:51.811,6436098,15886800,37,
2025-02-27 05:33:51.859,6436097,15886772,15,
2025-02-27 05:33:51.881,6436098,15886780,12,
2025-02-27 05:33:51.973,6436098,15886161,34,
2025-02-27 05:33:52.077,6436098,15796898,15,
2025-02-27 05:33:52.160,6436238,16102365,32,
2025-02-27 05:33:52.193,6436098,15796747,13,
2025-02-27 05:33:52.234,6436098,15797021,38,
2025-02-27 05:33:52.519,6436238,828963725,35,
2025-02-27 05:33:52.547,6436097,16291335,28,
2025-02-27 05:33:52.817,6436098,16168852,14,
2025-02-27 05:33:52.889,6436097,16291244,28,
2025-02-27 05:33:53.009,6436096,16168810,40,
2025-02-27 05:33:53.224,6436238,15796989,31,
2025-02-27 05:33:53.278,6436098,15797029,11,
2025-02-27 05:33:53.281,6436096,829019519,24,
2025-02-27 05:33:53.276,6436238,829019519,255,
2025-02-27 05:33:53.349,6436098,829019582,31,
2025-02-27 05:33:53.357,6436098,15941267,37,
2025-02-27 05:33:53.375,6436237,16291335,30,
2025-02-27 05:33:53.455,6436238,828963169,34,
2025-02-27 05:33:53.467,6436098,15797031,26,
2025-02-27 05:33:53.465,6436237,15886708,27,
2025-02-27 05:33:53.507,6436096,829019575,32,
2025-02-27 05:33:53.531,6436097,15941215,26,
2025-02-27 05:33:53.555,6436097,16168846,31,
2025-02-27 05:33:53.577,6436247,829019505,27,
2025-02-27 05:33:53.618,6436097,15886797,34,
2025-02-27 05:33:53.659,6436247,16291030,28,
2025-02-27 05:33:53.754,6436238,16168813,32,
2025-02-27 05:33:54.102,6436096,829019566,30,
2025-02-27 05:33:54.147,6436238,16168841,29,
2025-02-27 05:33:54.222,6436098,829019519,6,
2025-02-27 05:33:54.429,6436098,16291338,31,
2025-02-27 05:33:54.417,6436247,16291338,255,
2025-02-27 05:33:54.425,6436238,16291338,255,
2025-02-27 05:33:54.463,6436098,16168748,3,
2025-02-27 05:33:54.580,6436137,15941103,24,
2025-02-27 05:33:54.781,6436238,15940662,33,
2025-02-27 05:33:54.947,6436096,16291340,26,
2025-02-27 05:33:54.954,6436097,15886794,40,
2025-02-27 05:33:54.991,6436098,828964598,35,
2025-02-27 05:33:55.108,6436098,16168693,49,
2025-02-27 05:33:55.144,6436238,16291341,13,
2025-02-27 05:33:55.163,6436096,15886802,36,
2025-02-27 05:33:55.442,6436098,15941270,16,
2025-02-27 05:33:55.620,6436098,16168856,14,
2025-02-27 05:33:55.666,6436097,828962127,27,
2025-02-27 05:33:55.719,6436237,828964380,32,
2025-02-27 05:33:55.719,6436247,828964380,255,
2025-02-27 05:33:55.730,6436238,16291333,33,
2025-02-27 05:33:55.833,6436238,15940897,33,
2025-02-27 05:33:55.862,6436238,15941183,255,
2025-02-27 05:33:55.854,6436247,15941183,30,
2025-02-27 05:33:55.891,6436238,15941271,20,
2025-02-27 05:33:55.931,6436098,16168844,13,
2025-02-27 05:33:55.955,6436137,828964612,23,
2025-02-27 05:33:56.002,6436096,829019519,21,
2025-02-27 05:33:56.125,6436238,15885154,29,
2025-02-27 05:33:56.170,6436098,15886403,33,
2025-02-27 05:33:56.203,6436138,828964706,25,
2025-02-27 05:33:56.260,6436097,15941255,31,
2025-02-27 05:33:56.275,6436098,15941278,40,
2025-02-27 05:33:56.326,6436098,16291343,7,
2025-02-27 05:33:56.327,6436096,15941272,29,
2025-02-27 05:33:56.338,6436098,16168850,13,
2025-02-27 05:33:56.334,6436238,16168850,255,
2025-02-27 05:33:56.368,6436237,15941273,22,
2025-02-27 05:33:56.506,6436238,16168835,22,
2025-02-27 05:33:56.551,6436098,828959225,25,
2025-02-27 05:33:56.601,6436238,15796969,29,
2025-02-27 05:33:56.731,6436098,15886800,39,
2025-02-27 05:33:56.751,6436097,15796912,39,
2025-02-27 05:33:56.848,6436098,15941149,41,
2025-02-27 05:33:56.858,6436238,15941149,255,
2025-02-27 05:33:56.922,6436098,829019519,18,
2025-02-27 05:33:56.979,6436097,15886772,16,
2025-02-27 05:33:57.001,6436098,15886780,21,
2025-02-27 05:33:57.093,6436098,15886161,32,
2025-02-27 05:33:57.197,6436098,15796898,15,
2025-02-27 05:33:57.281,6436238,16102365,30,
2025-02-27 05:33:57.313,6436098,15796747,31,
2025-02-27 05:33:57.640,6436238,828963725,33,
2025-02-27 05:33:57.737,6436098,16168852,28,
2025-02-27 05:33:58.009,6436097,16291244,31,
2025-02-27 05:33:58.129,6436096,16168810,45,
2025-02-27 05:33:58.198,6436098,15797029,28,
2025-02-27 05:33:58.269,6436098,829019582,25,
2025-02-27 05:33:58.296,6436237,16291335,33,
2025-02-27 05:33:58.345,6436238,15796989,25,
2025-02-27 05:33:58.387,6436098,15797031,34,
2025-02-27 05:33:58.386,6436237,15886708,29,
2025-02-27 05:33:58.576,6436238,828963169,32,
2025-02-27 05:33:58.627,6436096,829019575,31,
2025-02-27 05:33:58.640,6436098,15941281,6,
2025-02-27 05:33:58.651,6436097,15941215,15,
2025-02-27 05:33:58.682,6436096,829019519,22,
2025-02-27 05:33:58.698,6436247,829019505,28,
2025-02-27 05:33:58.780,6436247,16291030,24,
2025-02-27 05:33:58.875,6436238,16168813,27,
2025-02-27 05:33:58.943,6436238,16291351,255,
2025-02-27 05:33:58.948,6436098,16291351,14,
2025-02-27 05:33:58.935,6436247,16291351,255,
2025-02-27 05:33:58.985,6436238,829019587,20,
2025-02-27 05:33:59.268,6436238,16168841,29,
2025-02-27 05:33:59.583,6436098,16168748,2,
2025-02-27 05:33:59.700,6436137,15941103,15,
2025-02-27 05:33:59.719,6436098,829019519,1,
2025-02-27 05:33:59.707,6436247,829019519,255,
2025-02-27 05:33:59.902,6436238,15940662,31,
2025-02-27 05:34:00.074,6436097,15886794,43,
2025-02-27 05:34:00.083,6436096,15886802,34,
2025-02-27 05:34:00.111,6436098,828964598,38,
2025-02-27 05:34:00.129,6436098,15941284,10,
2025-02-27 05:34:00.125,6436238,15941284,255,
2025-02-27 05:34:00.228,6436098,16168693,47,
2025-02-27 05:34:00.377,6436097,15797043,32,
2025-02-27 05:34:00.377,6436097,15941285,31,
2025-02-27 05:34:00.365,6436237,15941285,255,
2025-02-27 05:34:00.383,6436238,15941286,26,
2025-02-27 05:34:00.540,6436098,16168856,29,
2025-02-27 05:34:00.562,6436098,15941270,16,
2025-02-27 05:34:00.786,6436097,828962127,29,
2025-02-27 05:34:00.830,6436097,15886805,34,
2025-02-27 05:34:00.840,6436247,828964380,255,
2025-02-27 05:34:00.840,6436237,828964380,29,
2025-02-27 05:34:00.851,6436238,16291333,33,
2025-02-27 05:34:00.954,6436238,15940897,33,
2025-02-27 05:34:00.983,6436238,15941183,255,
2025-02-27 05:34:00.975,6436247,15941183,27,
2025-02-27 05:34:01.042,6436096,15796898,26,
2025-02-27 05:34:01.075,6436137,828964612,24,
2025-02-27 05:34:01.163,6436096,829019590,31,
2025-02-27 05:34:01.195,6436098,15941278,41,
2025-02-27 05:34:01.246,6436238,15885154,34,
2025-02-27 05:34:01.290,6436098,15886403,36,
2025-02-27 05:34:01.323,6436138,828964706,25,
2025-02-27 05:34:01.442,6436096,829019519,19,
2025-02-27 05:34:01.489,6436237,15941273,25,
2025-02-27 05:34:01.667,6436098,16168863,26,
2025-02-27 05:34:01.671,6436098,828959225,39,
2025-02-27 05:34:01.851,6436098,15886800,39,
2025-02-27 05:34:01.936,6436097,15797044,31,
2025-02-27 05:34:01.968,6436098,15941149,30,
2025-02-27 05:34:01.968,6436238,16291358,14,
2025-02-27 05:34:01.979,6436238,15941149,255,
2025-02-27 05:34:02.076,6436097,15941290,40,
2025-02-27 05:34:02.064,6436227,15941290,255,
2025-02-27 05:34:02.099,6436097,15886772,28,
2025-02-27 05:34:02.139,6436098,16168864,27,
2025-02-27 05:34:02.213,6436098,15886161,43,
2025-02-27 05:34:02.342,6436098,15941291,29,
